ID,waited,asking,alright,calls,waiting,help,make,stays,providing,monitoring,arrive,offering,arrives,find,need,stranger,assessing,responds,call,breathing,depending,stay,monitor,encourage,remains,receiving,take,keep,remain,provides,observed,try,ensuring,exhibits,hearing,groaning,coughing,request,trying,ask,provide,concerned,respond,waits,ensure,proper,needed,islander,calling,comforting,responsive,shaded,tries,attempting,seeks,slows,excuse,maintaining,keeping,immediate,offer,wake,tapping,seems,disoriented,appears,control,continue,wait,approaches,checks,offers,know,continues,hoping,made,recognizing,shared,get,shows,fellow,driven,gets,finding,assesses,stop,decides,staying,speaking,getting,compassionate,understanding,deserve,understand,ensures,widow,rouse,flag,passerby,resolved,attended,deciding,attempt,trained,receives,hesitates,feeling,approach,contacting,seeking,needs,continuing,maintains,asks,helps,treating,based,helping,leaving,required,drawing,respect,caring,touching,reassuring,takes,rush,leave,briefly,looks,consider,stopping,feel,drink,seeing,distressed,checking,respects,leaves,declines,wishes,seek,departing,awareness,acting,guided,kneeling,pulse,prepared,rushed,wanting,hurrying,acts,like,prioritizing,moving,concerning,approaching,decide,check,okay,background,exercises,speaks,embodying,suffering,regain,go,ambulance,lack,preclude,cultural,emphasize,vary,poses,come,vulnerable,reflecting,improves,shake,assist,aiming,overstepping,making,encourages,taps,aid,balancing,shelter,assess,extended,receive,notify,showing,shakes,stirs,bottle,coherent,pauses,kindness,comes,inform,arrived,focused,going,listens,guide,wish,treated,basic,called,regains,compassion,left,persists,propping,respecting,care,experiencing,avoiding,escalate,contact,influence,see,conflicted,improve,passersby,resting,say,perform,sending,assistance,motivating,covering,requires,engage,inquiring,treat,inquires,makes,becomes,consciousness,assists,accessing,putting,acknowledging,move,struggling,believe,extending,appropriate,require,backs,facing,return,taken,taking,empathy,pause,alert,desire,compel,privileged,compelled,involved,regardless,using,limited,prioritize,tended,widowed,instilled,inclined,demonstrate,addressed,helped,summoned,luck,directs,differing,apologizes,embracing,linger,regaining,relieved,calming,injured,monitored,evaluate,listening,provided,show,act,reflect,compromising,means,shape,shaking,stops,marginalized,wants,wellbeing,arranging,exudes,flagging,bag,rousing,running,friend,direct,stepping,expressing,upright,assessed,factor,hesitate,wellness,exhibit,put,prevent,incapacitated
1,0.0,0.06461299476821136,0.12419543591158391,0.03178544972689641,0.197335473922271,0.07885110452917378,0.1626233372336449,0.12113938038440349,0.19675827140602928,0.3129769440522753,0.27207541035418453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0710742942450325,0.13661497950274232,0.03496399469958605,,0.17347242996418233,,,,,,0.13297821508565486,0.06435267963345243,0.08184072274337907,0.12059126691437626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.04738286283002167,,,,0.0578241433213941,,,,,,,0.042901786422301615,0.05456048182891938,,0.03156653999303394,0.09724100151330112,0.05144916367687779,0.04679375737665512,0.22655297480027958,0.2969564864169005,0.21837948666079077,0.3744998737372792,0.48179573456621927,0.16044363019255015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.06461299476821136,,,0.197335473922271,,,,,,,,,,,0.043045281808682646,0.13260136569995606,,,,,,,,,0.37599032410317934,0.23390687893961504,0.4476682659544767,0.368080198922304,0.24893633170555904,0.31720603638272005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.05467253403464039,,0.026895380538143117,,0.06672016537083936,,0.1025025526329568,,,,,,0.06295440211029159,,0.03642293076119301,0.11220115559227052,0.05936441962716668,0.053992796973063605,,,,,,,,,,,,,0.11898180072894014,0.1089073096551222,0.33797866726439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,,0.10508844577134024,0.026895380538143117,0.1669761702419216,,0.13760436227462258,,,,0.46043530983015846,0.10229093468127295,,,,0.03642293076119301,,,,,,,,,,,0.19792120525659734,,,,,,,,0.12641843920858384,0.1305774562293743,0.12584223369095632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.05922857853752708,,0.02913666224965504,,0.07228017915174262,,,,,,,0.053627233027877017,0.06820060228614921,,0.03945817499129242,0.12155125189162638,0.06431145459609723,0.0584921967208189,0.28319121850034945,0.3711956080211256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,,,0.02497428192827575,,,0.12777547925500668,0.09518094173060272,,,,0.09498443934689631,0.0459661997381803,,,0.03382129284967922,,,,,,,,,,,,,,,,,,,0.11738855069368498,0.12125049507013326,0.11685350271303087,0.18585451465778696,0.14770576566276855,0.3227775583850771,0.13062666549825258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.04738286283002167,,0.023309329799724034,,,,,,,,,0.042901786422301615,0.05456048182891938,,0.03156653999303394,,0.05144916367687779,0.04679375737665512,,,,,,,,,,,,,0.20623512126349622,0.09438633503443923,,,,,0.1734642136806012,,,,0.1615276649173355,0.17820394179284987,0.09222610676412861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,,,0.04370499337448256,,,,,,,,,0.08044084954181553,,,0.05918726248693864,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17292395018274115,0.3895077692899972,0.6287139301446337,0.31244352497261857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
