waited,asking,alright,calls,waiting,help,make,stays,providing,monitoring,arrive,stranger,assessing,responds,call,find,breathing,depending,stay,monitor,arrives,encourage,remains,try,ensuring,exhibits,concerned,respond,request,waits,islander,calling,hearing,coughing,groaning,comforting,need,responsive,shaded,offering,slows,excuse,maintaining,take,keeping,provide,needed,offer,tries,wake,tapping,seems,disoriented,appears,control,continue,approaches,checks,immediate,know,provides,recognizing,shared,shows,fellow,trying,driven,assesses,stop,attempting,receiving,decides,staying,ensure,speaking,get,offers,ensures,proper,widow,rouse,flag,passerby,resolved,attended,keep,remain,attempt,trained,receives,hesitates,feeling,approach,contacting,seeking,maintains,asks,helps,treating,compassionate,needs,required,touching,reassuring,getting,takes,rush,leave,drink,understand,seeks,continuing,awareness,caring,finding,looks,kneeling,pulse,prepared,rushed,wanting,hurrying,wishes,seek,acts,like,based,prioritizing,concerning,approaching,decide,check,okay,wait,understanding,background,exercises,consider,stopping,feel,hoping,speaks,regain,checking,ambulance,leaving,come,reflecting,respect,improves,deciding,aiming,overstepping,making,continues,leaves,taps,assist,balancing,extended,showing,shakes,stirs,declines,bottle,coherent,pauses,seeing,vulnerable,comes,inform,arrived,going,listens,drawing,guide,guided,basic,regains,encourages,left,observed,propping,respecting,care,experiencing,avoiding,escalate,assess,respects,passersby,say,perform,sending,requires,suffering,engage,inquiring,treat,inquires,makes,becomes,consciousness,shake,assists,improve,helping,acknowledging,move,ask,contact,backs,return,taking,empathy,pause,distressed,see,compel,aid,privileged,compelled,involved,regardless,using,alert,limited,widowed,prioritize,addressed,helped,differing,linger,relieved,calming,injured,monitored,putting,evaluate,listening,compromising,kindness,shaking,marginalized,wants,wellbeing,arranging,shelter,exudes,flagging,bag,embodying,extending,rousing,running,require,friend,direct,means,stepping,expressing,upright,departing,assessed,summoned,provided,hesitate,put,prevent,called,incapacitated,made,gets,deserve,briefly,acting,moving,go,lack,preclude,cultural,emphasize,vary,poses,receive,notify,focused,wish,treated,compassion,persists,influence,conflicted,resting,assistance,motivating,covering,accessing,struggling,believe,appropriate,facing,taken,desire,tended,instilled,inclined,demonstrate,luck,directs,apologizes,embracing,regaining,show,act,reflect,shape,stops,factor,wellness,exhibit
0.0,0.06461299476821136,0.12419543591158391,0.03178544972689641,0.197335473922271,0.07885110452917378,0.1626233372336449,0.12113938038440349,0.19675827140602928,0.3129769440522753,0.27207541035418453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.04738286283002167,,,,0.0578241433213941,,,,,,0.03156653999303394,0.09724100151330112,0.05144916367687779,0.04679375737665512,0.05456048182891938,0.22655297480027958,0.2969564864169005,0.21837948666079077,0.3744998737372792,0.042901786422301615,0.48179573456621927,0.16044363019255015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.05467253403464039,,0.026895380538143117,,0.06672016537083936,,0.1025025526329568,,,,0.03642293076119301,0.11220115559227052,0.05936441962716668,0.053992796973063605,0.06295440211029159,,,,,,,,0.11898180072894014,0.1089073096551222,0.33797866726439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.05922857853752708,,0.02913666224965504,,0.07228017915174262,,,,,,0.03945817499129242,0.12155125189162638,0.06431145459609723,0.0584921967208189,0.06820060228614921,0.28319121850034945,0.3711956080211256,,,0.053627233027877017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.04738286283002167,,0.023309329799724034,,,,,,,,0.03156653999303394,,0.05144916367687779,0.04679375737665512,0.05456048182891938,,,,,0.042901786422301615,,,0.20623512126349622,0.09438633503443923,,0.1615276649173355,0.17820394179284987,0.1734642136806012,0.09222610676412861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,0.0910766530018282,0.023309329799724034,,0.0578241433213941,,0.08883554561522922,,,,,,,,,,,,,,,,,,,,,,,0.19952196759306864,0.12958215265035336,0.10956264731410599,0.1090632691988288,0.11316712873212438,0.21109953386312466,0.0803941779429175,0.2969564864169005,0.3431662984542302,0.08865214339043656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,0.03642293076119301,,,,,,,,,0.04950206125650187,,,,,,,,,,,,0.12641843920858384,0.12584223369095632,0.1305774562293743,,,,,,0.23969708879384444,0.4492801274902614,0.321724121597682,0.19792120525659734,0.17745808405116645,0.14067487053657973,0.19227293844468837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.08884286780629062,0.17076872437842788,0.04370499337448256,,0.10842026872761394,,,,,,,,,,,,,,,0.08044084954181553,,,,,,,,,,,,,,,,,,,0.16622276885706855,,,,,,,,0.3525270964036295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.02497428192827575,,0.06195443927292225,,,,,,0.03382129284967922,,,,0.058457659102413614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13920152566162655,0.28079279660635426,0.2563821327690645,0.2442118745755116,0.22742033933276704,0.16323525684885604,0.33299904721655366,0.3227775583850771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.05076735303216607,,0.02497428192827575,,0.06195443927292225,,,,,,,0.10418678733567976,0.05512410393951191,0.05013616861784477,0.058457659102413614,,,,,0.0459661997381803,,,,,,0.17306535526857375,,,,,,,,,,0.08613661922455446,,,,,,,,,,,,,,,,,,,,0.20501622798597835,0.29874382719784753,0.38822689637608815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
