waited,approaches,ask,seeing,stranger,comforting,calling,wait,ensure,continuing,check,need,stays,offering,needed,help,islander,okay,noticing,coughing,groaning,fetches,encouraging,take,inquire,needs,ensuring,feeling,asks,call,get,providing,realizing,find,caring,taps,stand,move,side,arrives,prioritizes,receive,raised,sensing,offers,showing,adult,calls,arrive,sitting,slumped,asking,assessing,shine,provides,taken,female,helping,wake,helps,nonbinary,assesses,realizes,offer,feel,drive,stops,hearing,prioritizing,seeking,demonstrating,recognizes,stay,waits,cared,sit,wakes,listens,walk,making,checking,tries,waiting,continues,staying,understanding,decides,recognizing,receiving,unwell,engage,make,receives,ensures,divorced,friend,assist,getting,groans,determined,touches,provide,respect,known,comes,takes,shows,regardless,cough,male,keep,care,widowed,placing,demonstrates,quick,thinking,saves,responds,background,like,reflect,upbringing,kindness,working,follows,demonstrate,compassionate,empathy,looks,fellow,drawing,compassion,leaves,knowing,made,engages,sits,calm,reassuring,convinces,accept,listening,sees,approach,contacting,improve,starts,moving,smiles,assistance,guide,trying,engaging,feels,conversation,uses,maintains,rouse,concerned,education,showcasing,suffering,prompting,whenever,suggests,finding,leaving,bottle,stop,experienced,deepens,individual,encouragement,parting,bag,decide,embodying,goes,required,connected,speaks,warm,farewell,talking,reflecting,compelled,finds,encourages,seek,struggles,struggling,shake,try,propping,covering,desire,maintain,going,indicating,distress,opens,senses,values,experiences,say,assisting,accepts,nurturing,rest,reaches,beside,shoulder,rising,facing,respond,taught,outweigh,notices,go,arranges,accustomed,looking,deepened,kicks,towards,disoriented,prioritize,rushes,shines,engaged,heritage,calming,remains,seeks,checks,instilling,remain,awake,left,scene,showcases,valuing,genuine,aid,keeping,widow,losing,gives,respecting,supported,shivering,appears,hoping,reassures,pulls,shield,save,note,knows,degree,see,nudges,shakes,immediate,deep,worsening,understands,weakly,married,received,pay,explain,require,kicking,hands,continue,convey,thanking,believes,reassured,gone,pass,determining,speaking,manages,come,breathing,makes,stabilizes,citizen,sweating,slipping,sense,explains,focused,tissue,taking,spring,incur,learning,support,coming,grows,manage,gets,driven,supporting,transcends,show,kick,drives,resolved,lasting,startled,gathered,smile,observed,healing,reminding,sharing,immense,ambulance,knowledge,training,nudging,basic,shaking,accompany,pallor,supports,instilled,challenges,settled,experience,determine,hydrated,coughs,gratitude,shown,wishes,prays,leave,loved,high,contact,brief,pale,seems,hurry,convincing,buy,lend,leading,soothing,beliefs,deteriorating,cultivated,explaining,guiding,composed,understand,educated,proper,worsens,empathizes
0.0,0.04864166588870657,0.261181550165203,0.08795468088372788,0.09808292530117263,0.26730591268927484,0.24907375700987938,0.49243509254992435,0.26625878270254527,0.16101649208267177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.044219696262460514,,,0.1783325914566775,,0.22643068819079942,,,,0.19281732223570075,0.09941254322696731,0.07515259756222435,0.13432209387136687,0.16875436276051148,0.11299997616419079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.03242777725913771,,,,,,,,0.10734432805511451,,,,,,,0.15729343786918046,0.2326177600139947,0.14819931416985532,0.10198950213252564,0.10734432805511451,0.4085549153216786,0.3282900616999495,0.2392899905844602,0.3744998737372792,0.2295164256383352,0.08508623106037082,0.11559163834351603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.060802082360883206,,,,,,,,,0.2651238180740885,,,,,,,,0.2778737140684787,,,,,,,,,,0.08921323844762273,0.13561232661324157,0.23677715315349,0.04749910986348866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.044219696262460514,,,0.08916629572833874,,,,,0.14637862916606525,0.19281732223570075,,,,,,,,,,,,,,,,0.11602667871868748,,0.06488235523463472,0.09862714662781205,0.1722015659298109,,0.15431881190744234,0.1956147457508602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.044219696262460514,,,,,,,,,,,0.07515259756222435,,,,0.2144910516397915,,,,,,,,,,,,0.06488235523463472,,,0.0345448071734463,0.15431881190744234,,0.17716557811479744,0.19448542575099134,0.2621027815126914,0.2775044316906956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.040534721573922135,,0.07329556740310655,,,,,,,0.17674921204939234,,,,0.1546914991971355,0.10358331148384155,,,,,,,,,,,,,,0.09040821774216104,,0.031666073242325773,,,,,,,0.26830023610506815,0.09968756318600214,0.5106936441520982,0.41914262009642245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.040534721573922135,,0.07329556740310655,,,,,,,,,,,,,0.19661679733647555,,,,,,,,,,,,0.05947549229841515,0.09040821774216104,,0.031666073242325773,,,,,,,,0.09968756318600214,,,0.3275915960407466,0.261049288022599,0.22633970933136988,0.18358795813725104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,0.12260365662646577,,,,,,,,,0.18469287907312945,,0.15537496722576233,,,,,,,,,,,,,0.08921323844762273,,,,,,,,,,,,,,,,,,0.4094615374889827,0.17962198094950443,0.4118887982211204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.051738047578663446,0.05769583841245448,,,,,0.09471558357804222,,,0.04862815136379223,,,,,,,0.08999073717575791,0.09471558357804222,,,,,,0.07507608622973895,0.10199262206780826,0.04198270044594011,,,0.022352522288700546,,,0.11463655054486892,,,,,,,,,,,,,,,0.144485376119272,0.09386613156893667,0.09261451989556696,0.28966770149995547,0.162413405872865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
